MISTER-BENCH fps=35.6
MISTER-PROF samples=23643 dropped=0 hz=1000 modules=12
MISTER-PROF-PC 33  0.14% 0x01b75ce0 /media/fat/games/mame/prof/lrmame_libretro.so
MISTER-PROF-PC 33  0.14% 0x01cfed0c /media/fat/games/mame/prof/lrmame_libretro.so
MISTER-PROF-PC 33  0.14% 0x01cfed58 /media/fat/games/mame/prof/lrmame_libretro.so
MISTER-PROF-PC 33  0.14% 0x01cfeb68 /media/fat/games/mame/prof/lrmame_libretro.so
MISTER-PROF-PC 33  0.14% 0xabc96d38 [unmapped]
MISTER-PROF-PC 32  0.14% 0x001797ac /media/fat/games/mame/prof/lrmame_libretro.so
MISTER-PROF-PC 32  0.14% 0xabc19b24 [unmapped]
MISTER-PROF-PC 32  0.14% 0xabc96d28 [unmapped]
MISTER-PROF-PC 32  0.14% 0xabc19bac [unmapped]
MISTER-PROF-PC 32  0.14% 0x01cfec84 /media/fat/games/mame/prof/lrmame_libretro.so
MISTER-PROF-PC 32  0.14% 0x01cfed74 /media/fat/games/mame/prof/lrmame_libretro.so
MISTER-PROF-PC 32  0.14% 0x01cfedc4 /media/fat/games/mame/prof/lrmame_libretro.so
MISTER-PROF-PC 32  0.14% 0xabc19afc [unmapped]
MISTER-PROF-PC 32  0.14% 0x01cfec1c /media/fat/games/mame/prof/lrmame_libretro.so
MISTER-PROF-PC 32  0.14% 0x01cfed60 /media/fat/games/mame/prof/lrmame_libretro.so
MISTER-PROF-PC 32  0.14% 0x01cfed50 /media/fat/games/mame/prof/lrmame_libretro.so
MISTER-PROF-PC 31  0.13% 0x01cfed48 /media/fat/games/mame/prof/lrmame_libretro.so
MISTER-PROF-PC 31  0.13% 0x01cfed94 /media/fat/games/mame/prof/lrmame_libretro.so
MISTER-PROF-PC 31  0.13% 0xabc96cd4 [unmapped]
MISTER-PROF-PC 31  0.13% 0x01cfed38 /media/fat/games/mame/prof/lrmame_libretro.so
MISTER-PROF-PC 31  0.13% 0xabc96c64 [unmapped]
MISTER-PROF-PC 31  0.13% 0xabc96d98 [unmapped]
MISTER-PROF-PC 31  0.13% 0xabc19ae8 [unmapped]
MISTER-PROF-PC 31  0.13% 0xabc96ba4 [unmapped]
MISTER-PROF-PC 30  0.13% 0x01cfe978 /media/fat/games/mame/prof/lrmame_libretro.so
MISTER-PROF-PC 30  0.13% 0x01cfe924 /media/fat/games/mame/prof/lrmame_libretro.so
MISTER-PROF-PC 30  0.13% 0x00059d54 /usr/lib/libc-2.31.so
MISTER-PROF-PC 30  0.13% 0x01cfece4 /media/fat/games/mame/prof/lrmame_libretro.so
MISTER-PROF-PC 30  0.13% 0x0017862c /media/fat/games/mame/prof/lrmame_libretro.so
MISTER-PROF-PC 30  0.13% 0xabc96d1c [unmapped]
