# setname	status	fps_no_present	driver_file	drc	fallback	title
bishi	OK	69.6	konami/bishi.cpp	-	-	Bishi Bashi Champ Mini Game Senshuken (ver JAA, 3 Players)
rltennis	OK	69.5	tch/rltennis.cpp	-	-	Reality Tennis (set 1)
gypsyjug	OK	69.2	meadows/meadows.cpp	-	mame4all	Gypsy Juggler
espial	OK	68.9	orca/espial.cpp	-	mame4all	Espial (Europe)
tattack	OK	68.9	misc/tattack.cpp	-	-	Time Attacker
cbasebal	OK	68.8	capcom/cbasebal.cpp	-	mame4all	Capcom Baseball (Japan)
deadeye	OK	68.8	meadows/meadows.cpp	-	mame4all	Dead Eye
ultennis	OK	68.8	misc/artmagic.cpp	-	-	Ultimate Tennis
champbwl	OK	68.6	seta/champbwl.cpp	-	-	Championship Bowling
warpwarp	OK	68.6	namco/warpwarp.cpp	-	mame4all	Warp & Warp
marineb	OK	68.5	orca/marineb.cpp	-	mame4all	Marine Boy
bounty	OK	68.4	orca/zodiack.cpp	-	mame4all	The Bounty (set 1)
joemacr	OK	68.4	dataeast/simpl156.cpp	-	-	Joe & Mac Returns (World, Master Version 1.1, 1994.05.27)
jollyjgr	OK	68.3	taito/jollyjgr.cpp	-	-	Jolly Jogger
actionhw	OK	68.2	tch/kickgoal.cpp	-	-	Action Hollywood
cntrygrl	OK	68.1	nichibutsu/jangou.cpp	-	-	Country Girl (Japan set 1)
funkybee	OK	68.1	orca/funkybee.cpp	-	mame4all	Funky Bee
stonebal	OK	67.7	misc/artmagic.cpp	-	-	Stone Ball (4 Players, v1-20 13/12/1994)
casanova	OK	67.5	promat/3x3puzzl.cpp	-	-	Casanova
noahsark	OK	67.5	misc/tugboat.cpp	-	-	Noah's Ark
bbprot	OK	67.4	nix/fitfight.cpp	-	-	unknown fighting game 'BB' (prototype)
tourpgum	OK	67.4	misc/4enraya.cpp	-	-	unknown Paradise Automatique / TourVisión bowling themed poker game with gum prizes (France)
combat	OK	67.3	exidy/exidy440.cpp	-	mame4all	Combat (version 3.0)
